time;x;y;z
1.706;-0.046;-0.983;0.089
1.706;-0.066;-0.982;0.135
1.707;-0.077;-0.981;0.167
1.707;-0.078;-0.980;0.182
1.708;-0.071;-0.984;0.178
1.708;-0.060;-0.994;0.165
1.709;-0.063;-1.004;0.150
1.711;-0.073;-1.009;0.134
1.716;-0.081;-1.009;0.114
1.722;-0.085;-1.005;0.091
1.727;-0.090;-0.996;0.073
1.731;-0.091;-0.982;0.064
1.736;-0.082;-0.972;0.056
1.742;-0.066;-0.966;0.045
1.746;-0.045;-0.969;0.037
1.752;-0.026;-0.976;0.027
1.770;-0.011;-0.986;0.023
1.771;0.000;-0.990;0.022
1.773;0.009;-0.995;0.018
1.815;0.007;-1.004;0.008
1.815;0.010;-1.011;0.009
1.815;0.010;-1.022;0.009
1.816;0.002;-1.025;0.005
1.816;-0.010;-1.025;0.001
1.816;-0.021;-1.023;0.001
1.817;-0.029;-1.022;-0.003
1.817;-0.036;-1.022;-0.010
1.817;-0.039;-1.022;-0.016
1.818;-0.037;-1.017;-0.024
1.824;-0.034;-1.013;-0.033
1.828;-0.030;-1.007;-0.044
1.833;-0.028;-1.002;-0.057
1.839;-0.030;-0.992;-0.064
1.843;-0.030;-0.983;-0.064
1.848;-0.035;-0.975;-0.061
1.853;-0.042;-0.969;-0.048
1.860;-0.049;-0.968;-0.024
1.863;-0.052;-0.974;0.004
1.868;-0.048;-0.984;0.024
1.880;-0.041;-0.992;0.033
1.881;-0.033;-0.998;0.040
1.883;-0.027;-1.000;0.045
1.913;-0.019;-1.002;0.045
1.913;-0.008;-1.003;0.040
1.913;0.002;-1.001;0.035
1.914;0.008;-0.996;0.034
1.914;0.013;-0.991;0.031
1.914;0.015;-0.986;0.030
1.918;0.015;-0.982;0.029
1.923;0.013;-0.979;0.028
1.926;0.007;-0.978;0.026
1.930;0.005;-0.979;0.021
1.935;0.003;-0.980;0.015
1.940;0.002;-0.983;0.013
1.945;0.001;-0.988;0.012
1.950;-0.001;-0.993;0.008
1.962;-0.003;-0.996;0.003
1.963;-0.005;-0.997;-0.000
1.965;-0.009;-0.999;-0.004
1.970;-0.012;-0.999;-0.006
1.990;-0.012;-0.999;-0.012
1.998;-0.009;-0.995;-0.014
1.998;-0.010;-0.996;-0.015
2.003;-0.009;-0.999;-0.016
2.004;-0.009;-1.000;-0.021
2.004;-0.007;-0.998;-0.027
2.005;-0.006;-0.997;-0.030
2.009;-0.006;-0.995;-0.035
2.014;-0.007;-0.994;-0.041
2.019;-0.008;-0.999;-0.046
2.026;-0.009;-1.001;-0.055
2.029;-0.016;-1.003;-0.072
2.034;-0.023;-1.004;-0.098
2.044;-0.022;-1.005;-0.117
2.049;-0.023;-1.008;-0.141
2.055;-0.021;-1.012;-0.157
2.072;-0.014;-1.014;-0.159
2.074;-0.012;-1.020;-0.146
2.076;-0.013;-1.021;-0.121
2.126;-0.015;-1.024;-0.091
2.127;-0.020;-1.021;-0.062
2.128;-0.028;-1.017;-0.033
2.129;-0.034;-1.016;-0.014
2.129;-0.032;-1.014;-0.005
2.130;-0.026;-1.010;-0.006
2.131;-0.023;-1.007;-0.016
2.131;-0.022;-1.011;-0.034
2.132;-0.022;-1.017;-0.051
2.133;-0.022;-1.023;-0.065
2.133;-0.020;-1.028;-0.069
2.134;-0.019;-1.033;-0.061
2.135;-0.026;-1.032;-0.053
2.141;-0.035;-1.028;-0.036
2.143;-0.036;-1.025;-0.016
2.146;-0.031;-1.023;-0.003
2.151;-0.028;-1.020;-0.001
2.159;-0.027;-1.017;-0.001
2.161;-0.025;-1.013;0.006
2.166;-0.022;-1.007;0.014
2.171;-0.019;-1.004;0.019
2.196;-0.018;-1.004;0.024
2.198;-0.018;-1.000;0.024
2.199;-0.012;-0.992;0.021
2.200;-0.007;-0.986;0.014
2.204;-0.006;-0.982;0.002
2.204;-0.005;-0.980;-0.009
2.204;-0.003;-0.975;-0.016
2.238;0.001;-0.973;-0.023
2.239;0.006;-0.973;-0.025
2.240;0.006;-0.973;-0.028
2.240;0.005;-0.973;-0.025
2.241;0.002;-0.971;-0.024
2.241;-0.006;-0.972;-0.023
2.242;-0.012;-0.970;-0.024
2.243;-0.018;-0.971;-0.027
2.248;-0.022;-0.972;-0.029
2.253;-0.023;-0.973;-0.031
2.258;-0.029;-0.977;-0.040
2.265;-0.033;-0.986;-0.044
2.269;-0.034;-0.998;-0.048
2.293;-0.040;-1.009;-0.056
2.294;-0.038;-1.022;-0.062
2.295;-0.039;-1.036;-0.076
2.297;-0.044;-1.048;-0.093
2.298;-0.045;-1.051;-0.110
2.300;-0.046;-1.052;-0.127
2.304;-0.044;-1.054;-0.132
2.323;-0.027;-1.046;-0.122
2.324;-0.001;-1.031;-0.095
2.324;0.020;-1.016;-0.053
2.326;0.040;-1.006;-0.010
2.331;0.067;-0.995;0.032
2.336;0.086;-0.984;0.063
2.341;0.096;-0.972;0.085
2.346;0.103;-0.960;0.093
2.351;0.106;-0.950;0.096
2.366;0.114;-0.938;0.096
2.368;0.119;-0.928;0.093
2.369;0.122;-0.922;0.091
2.372;0.125;-0.921;0.087
2.410;0.129;-0.924;0.084
2.411;0.133;-0.933;0.080
2.411;0.138;-0.943;0.074
2.411;0.141;-0.956;0.069
2.412;0.147;-0.969;0.063
2.412;0.145;-0.985;0.051
2.412;0.144;-0.999;0.043
2.413;0.144;-1.011;0.033
2.415;0.141;-1.025;0.022
2.419;0.132;-1.033;0.014
2.426;0.123;-1.038;0.006
2.429;0.114;-1.044;-0.001
2.434;0.105;-1.047;-0.009
2.442;0.099;-1.053;-0.014
2.444;0.095;-1.057;-0.015
2.449;0.088;-1.060;-0.017
2.456;0.083;-1.063;-0.022
2.462;0.081;-1.068;-0.023
2.464;0.078;-1.072;-0.018
2.469;0.076;-1.074;-0.014
2.489;0.077;-1.074;-0.008
2.503;0.078;-1.077;-0.002
2.504;0.079;-1.079;0.002
2.504;0.082;-1.080;0.005
2.505;0.086;-1.075;0.005
2.507;0.090;-1.072;0.012
2.507;0.099;-1.066;0.017
2.507;0.108;-1.056;0.022
2.514;0.115;-1.048;0.027
